DATE,SHIFT,ROUTE,TOTAL
27,IN 10PM,Alabang,0
27,IN 10PM,Binan,0
27,IN 10PM,Carmona,0
27,IN 10PM,Balibago,32
27,IN 10PM,Tagapo,115
27,IN 10PM,Cabuyao,52
27,IN 10PM,Calamba,412
28,OUT 4AM,Alabang,0
28,OUT 4AM,Binan,0
28,OUT 4AM,Carmona,0
28,OUT 4AM,Balibago,27
28,OUT 4AM,Tagapo,88
28,OUT 4AM,Cabuyao,40
28,OUT 4AM,Calamba,312
28,IN 7AM,Alabang,646
28,IN 7AM,Binan,0
28,IN 7AM,Carmona,0
28,IN 7AM,Balibago,5
28,IN 7AM,Tagapo,22
28,IN 7AM,Cabuyao,8
28,IN 7AM,Calamba,91
28,OUT 7AM,Alabang,170
28,OUT 7AM,Binan,0
28,OUT 7AM,Carmona,0
28,OUT 7AM,Balibago,3
28,OUT 7AM,Tagapo,22
28,OUT 7AM,Cabuyao,6
28,OUT 7AM,Calamba,85
28,OUT 4PM,Alabang,152
28,OUT 4PM,Binan,0
28,OUT 4PM,Carmona,0
28,OUT 4PM,Balibago,12
28,OUT 4PM,Tagapo,24
28,OUT 4PM,Cabuyao,7
28,OUT 4PM,Calamba,45
28,OUT 6PM,Alabang,149
28,OUT 6PM,Binan,0
28,OUT 6PM,Carmona,0
28,OUT 6PM,Balibago,6
28,OUT 6PM,Tagapo,23
28,OUT 6PM,Cabuyao,6
28,OUT 6PM,Calamba,83
28,IN 7PM,Alabang,156
28,IN 7PM,Binan,0
28,IN 7PM,Carmona,0
28,IN 7PM,Balibago,8
28,IN 7PM,Tagapo,42
28,IN 7PM,Cabuyao,22
28,IN 7PM,Calamba,147
28,OUT 7PM,Alabang,282
28,OUT 7PM,Binan,0
28,OUT 7PM,Carmona,0
28,OUT 7PM,Balibago,0
28,OUT 7PM,Tagapo,0
28,OUT 7PM,Cabuyao,0
28,OUT 7PM,Calamba,0
28,IN 10PM,Alabang,0
28,IN 10PM,Binan,0
28,IN 10PM,Carmona,0
28,IN 10PM,Balibago,33
28,IN 10PM,Tagapo,111
28,IN 10PM,Cabuyao,46
28,IN 10PM,Calamba,389
29,OUT 4AM,Alabang,0
29,OUT 4AM,Binan,0
29,OUT 4AM,Carmona,0
29,OUT 4AM,Balibago,27
29,OUT 4AM,Tagapo,88
29,OUT 4AM,Cabuyao,40
29,OUT 4AM,Calamba,306
29,IN 7AM,Alabang,640
29,IN 7AM,Binan,0
29,IN 7AM,Carmona,0
29,IN 7AM,Balibago,6
29,IN 7AM,Tagapo,23
29,IN 7AM,Cabuyao,6
29,IN 7AM,Calamba,83
29,OUT 7AM,Alabang,156
29,OUT 7AM,Binan,0
29,OUT 7AM,Carmona,0
29,OUT 7AM,Balibago,3
29,OUT 7AM,Tagapo,22
29,OUT 7AM,Cabuyao,6
29,OUT 7AM,Calamba,85
29,OUT 4PM,Alabang,152
29,OUT 4PM,Binan,0
29,OUT 4PM,Carmona,0
29,OUT 4PM,Balibago,12
29,OUT 4PM,Tagapo,24
29,OUT 4PM,Cabuyao,7
29,OUT 4PM,Calamba,45
29,OUT 6PM,Alabang,149
29,OUT 6PM,Binan,0
29,OUT 6PM,Carmona,0
29,OUT 6PM,Balibago,6
29,OUT 6PM,Tagapo,23
29,OUT 6PM,Cabuyao,6
29,OUT 6PM,Calamba,83
29,IN 7PM,Alabang,156
29,IN 7PM,Binan,0
29,IN 7PM,Carmona,0
29,IN 7PM,Balibago,8
29,IN 7PM,Tagapo,40
29,IN 7PM,Cabuyao,20
29,IN 7PM,Calamba,135
29,OUT 7PM,Alabang,261
29,OUT 7PM,Binan,0
29,OUT 7PM,Carmona,0
29,OUT 7PM,Balibago,0
29,OUT 7PM,Tagapo,0
29,OUT 7PM,Cabuyao,0
29,OUT 7PM,Calamba,0
29,IN 10PM,Alabang,0
29,IN 10PM,Binan,0
29,IN 10PM,Carmona,0
29,IN 10PM,Balibago,33
29,IN 10PM,Tagapo,111
29,IN 10PM,Cabuyao,46
29,IN 10PM,Calamba,389
